"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal","avgFlrs","avgFrts","avgFrtSet","ct_ShDiv","ct_InvSimpD","colCat","nectarVol","nectarSucPerc","nectarN","logInvSimpD","hex","nmds1","nmds2","pch_ind"
"1","CHCL-2019","""2019""","CHCL","focal_narrow",0,8,1,5,0,0,0,0.571428571,0.071428571,0.357142857,0,0,0,0.057142857,0.007142857,0.035714286,0,0,"PC","C","C","C",30.88828333,3.28105,2.190133333,4.940383333,5.047766667,242.4333333,223.4,45,31.82479,-99.55632,14,NA,NA,NA,0.876005766,2.177777778,"yellow",NA,NA,NA,0.778304989002293,"#f2df2d",-0.199887293610941,-0.205967383773,23
"2","CLA-2018","""2018""","CLA","focal_narrow",0,12,0,1,3,0,0,0.75,0,0.0625,0.1875,0,0,0.032432432,0,0.002702703,0.008108108,0,"PC","C","C","C",28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,16,NA,NA,NA,0.702918931,1.662337662,"yellow",NA,NA,NA,0.508224841862808,"#f4df2d",-0.299814565572143,-0.352982932544597,23
"3","CLA-2019","""2019""","CLA","focal_narrow",0,0,1,0,13,0,0,0,0.071428571,0,0.928571429,0,0,0,0.003558719,0,0.046263345,0,"PC","C","C","C",28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,14,15.96774194,3.483870968,0.200698137,0.257318641,1.152941176,"yellow",4.036743183,23.47368421,19,0.142316221772092,"#f4df2d",-0.299814565572131,-0.352982932544591,23
"4","CMSC-2018","""2018""","CMSC","focal_narrow",0,16,0,6,15,0,0,0.432432432,0,0.162162162,0.405405405,0,0,0.103225806,0,0.038709677,0.096774194,0,"PC","C","C","C",34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,37,NA,NA,NA,1.023546848,2.647969052,"yellow",NA,NA,NA,0.973792950695286,"#efe144",-0.00926231676569464,-0.113113184223386,23
"5","CMSC-2019","""2019""","CMSC","focal_narrow",0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0.174603175,0,0,"PC","C","C","C",34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,11,12.16666667,6.133333333,0.482574072,0,1,"yellow",NA,NA,NA,0,"#efe144",-0.00926231676569005,-0.113113184223383,23
"6","CQL-2018","""2018""","CQL","focal_narrow",0,2,0,0,43,0,0,0.044444444,0,0,0.955555556,0,0,0.009049774,0,0,0.194570136,0,"PC","C","C","C",27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,45,NA,NA,NA,0.181820282,1.09282245,"yellow",NA,NA,NA,0.0887637531812056,"#f1e241",-0.235263040589509,-0.348778854146524,23
"7","CQL-2019","""2019""","CQL","focal_narrow",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00729927,0,"PC","C","C","C",27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,1,23.13333333,18.8,0.808517793,0,1,"yellow",1.963227659,46.25,4,0,"#f1e241",-0.235263040589509,-0.348778854146524,23
"8","LMN-2019","""2019""","LMN","focal_narrow",0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0.117647059,"PC","L","L","L",37.66555,2.984916667,3.187483333,5.0167,6.882233333,242.7,88.63333333,26.93333333,31.33261,-97.46821,16,24.09677419,16.93548387,0.714566318,0,1,"red",NA,NA,NA,0,"#f3591b",-0.493345968252905,-0.091288582189222,24
"9","LRR-2018","""2018""","LRR","focal_narrow",0,0,0,0,2,28,0,0,0,0,0.066666667,0.933333333,0,0,0,0,0.018018018,0.252252252,"PC","L","L","L",34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,30,NA,NA,NA,0.244930027,1.14213198,"red",NA,NA,NA,0.132896673733098,"#f65420",-0.493280230345079,-0.132264621103378,24
"10","LRR-2019","""2019""","LRR","focal_narrow",0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0.072916667,"PC","L","L","L",34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,7,22.63333333,15.7,0.74073475,0,1,"red",9.385486024,30.61904762,21,0,"#f65420",-0.493281118720167,-0.132264342056269,24
