plant,pop,taxa,sp,reg2,corL,corW2,stigma,lipL,brLbW,red,green,blue,LatN,LonW
CHCL1,CHCL,PC,C,C,33.066,3.0295,2.466,5.18,4.507,248,229,51,31.82479,-99.55632
CHCL10,CHCL,PC,C,C,29.0965,2.606,1.557,3.6625,5.1875,236,221,50,31.82479,-99.55632
CHCL11,CHCL,PC,C,C,28.6335,3.565,2.3735,4.213,5.6255,251,228,50,31.82479,-99.55632
CHCL12,CHCL,PC,C,C,36.795,3.177,1.4225,5.8745,6.018,236,221,50,31.82479,-99.55632
CHCL13,CHCL,PC,C,C,32.3745,3.227,2.9495,5.0385,4.557,251,228,50,31.82479,-99.55632
CHCL14,CHCL,PC,C,C,31.553,3.1625,2.0195,5.0405,3.643,248,229,51,31.82479,-99.55632
CHCL15,CHCL,PC,C,C,32.869,3.323,2.5725,4.9205,3.738,248,218,33,31.82479,-99.55632
CHCL16,CHCL,PC,C,C,29.2655,2.9495,2.466,4.1005,3.692,236,221,50,31.82479,-99.55632
CHCL17,CHCL,PC,C,C,30.259,3.4525,1.2575,5.32,4.922,236,221,50,31.82479,-99.55632
CHCL18,CHCL,PC,C,C,30.7175,3.5155,2.634,4.4575,8.5715,248,229,51,31.82479,-99.55632
CHCL19,CHCL,PC,C,C,31.363,3.884,4.65,3.5625,6.2935,251,228,50,31.82479,-99.55632
CHCL2,CHCL,PC,C,C,27.8395,3.1155,3.508,4.109,4.802,251,228,50,31.82479,-99.55632
CHCL20,CHCL,PC,C,C,28.6925,3.4715,2.0985,6.1035,6.178,251,228,50,31.82479,-99.55632
CHCL21,CHCL,PC,C,C,31.033,3.0275,1.5515,4.6375,3.9975,236,221,50,31.82479,-99.55632
CHCL22,CHCL,PC,C,C,26.878,3.3895,1.765,4.2525,2.953,243,220,25,31.82479,-99.55632
CHCL23,CHCL,PC,C,C,30.0925,2.9955,1.5795,5.2265,4.9945,251,228,50,31.82479,-99.55632
CHCL24,CHCL,PC,C,C,31.6625,2.626,2.2165,4.7095,5.7165,236,221,50,31.82479,-99.55632
CHCL25,CHCL,PC,C,C,32.9215,3.042,2.568,5.2355,5.5755,248,218,33,31.82479,-99.55632
CHCL26,CHCL,PC,C,C,29.0775,2.5225,1.338,3.8165,3.7965,226,219,47,31.82479,-99.55632
CHCL27,CHCL,PC,C,C,28.102,3.556,2.1365,4.302,5.7505,226,219,35,31.82479,-99.55632
CHCL28,CHCL,PC,C,C,30.6135,3.0105,4.107,5.4015,6.5095,243,220,25,31.82479,-99.55632
CHCL29,CHCL,PC,C,C,31.688,3.426,1.7005,4.957,4.931,243,220,25,31.82479,-99.55632
CHCL3,CHCL,PC,C,C,28.8675,3.972,2.075,4.5285,4.9015,248,218,33,31.82479,-99.55632
CHCL30,CHCL,PC,C,C,30.585,3.2055,1.988,5.5965,6.0805,226,219,47,31.82479,-99.55632
CHCL4,CHCL,PC,C,C,32.015,3.249,1.7655,6.066,3.101,251,228,50,31.82479,-99.55632
CHCL5,CHCL,PC,C,C,30.9,3.438,1.358,5.482,2.93,226,219,47,31.82479,-99.55632
CHCL6,CHCL,PC,C,C,30.0575,3.1325,1.441,5.252,3.759,251,228,50,31.82479,-99.55632
