plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
CLA01,CLA,2019,CLA-2019,PC,C,C,12,0,33.75562,-98.3829
CLA02,CLA,2019,CLA-2019,PC,C,C,15,0,33.75562,-98.3829
CLA03,CLA,2019,CLA-2019,PC,C,C,17,0,33.75562,-98.3829
CLA04,CLA,2019,CLA-2019,PC,C,C,15,3,33.75562,-98.3829
CLA05,CLA,2019,CLA-2019,PC,C,C,36,6,33.75562,-98.3829
CLA06,CLA,2019,CLA-2019,PC,C,C,15,5,33.75562,-98.3829
CLA07,CLA,2019,CLA-2019,PC,C,C,14,3,33.75562,-98.3829
CLA08,CLA,2019,CLA-2019,PC,C,C,15,2,33.75562,-98.3829
CLA09,CLA,2019,CLA-2019,PC,C,C,56,30,33.75562,-98.3829
CLA10,CLA,2019,CLA-2019,PC,C,C,39,8,33.75562,-98.3829
CLA11,CLA,2019,CLA-2019,PC,C,C,10,0,33.75562,-98.3829
CLA12,CLA,2019,CLA-2019,PC,C,C,8,1,33.75562,-98.3829
CLA13,CLA,2019,CLA-2019,PC,C,C,21,1,33.75562,-98.3829
CLA14,CLA,2019,CLA-2019,PC,C,C,21,4,33.75562,-98.3829
CLA15,CLA,2019,CLA-2019,PC,C,C,13,4,33.75562,-98.3829
CLA16,CLA,2019,CLA-2019,PC,C,C,9,9,33.75562,-98.3829
CLA17,CLA,2019,CLA-2019,PC,C,C,7,7,33.75562,-98.3829
CLA18,CLA,2019,CLA-2019,PC,C,C,8,0,33.75562,-98.3829
CLA19,CLA,2019,CLA-2019,PC,C,C,7,3,33.75562,-98.3829
CLA20,CLA,2019,CLA-2019,PC,C,C,20,3,33.75562,-98.3829
CLA21,CLA,2019,CLA-2019,PC,C,C,9,0,33.75562,-98.3829
CLA22,CLA,2019,CLA-2019,PC,C,C,7,0,33.75562,-98.3829
CLA23,CLA,2019,CLA-2019,PC,C,C,8,0,33.75562,-98.3829
CLA24,CLA,2019,CLA-2019,PC,C,C,10,0,33.75562,-98.3829
CLA25,CLA,2019,CLA-2019,PC,C,C,10,0,33.75562,-98.3829
CLA26,CLA,2019,CLA-2019,PC,C,C,14,1,33.75562,-98.3829
CLA27,CLA,2019,CLA-2019,PC,C,C,13,2,33.75562,-98.3829
CLA28,CLA,2019,CLA-2019,PC,C,C,13,3,33.75562,-98.3829
CLA29,CLA,2019,CLA-2019,PC,C,C,15,3,33.75562,-98.3829
CLA30,CLA,2019,CLA-2019,PC,C,C,18,5,33.75562,-98.3829
CLA31,CLA,2019,CLA-2019,PC,C,C,20,5,33.75562,-98.3829
CMSC01,CMSC,2019,CMSC-2019,PC,C,C,16,5,34.73168,-98.56844
CMSC02,CMSC,2019,CMSC-2019,PC,C,C,12,9,34.73168,-98.56844
CMSC03,CMSC,2019,CMSC-2019,PC,C,C,17,14,34.73168,-98.56844
CMSC04,CMSC,2019,CMSC-2019,PC,C,C,6,0,34.73168,-98.56844
