,popYr,year,pop,dataset,ct_other,ct_bumble_lg_bee,ct_butterfly_all,ct_hawkmoth,ct_small_med_bee,ct_hummingbird,pr_other,pr_bumble_lg_bee,pr_butterfly_all,pr_hawkmoth,pr_small_med_bee,pr_hummingbird,rt_other,rt_bumble_lg_bee,rt_butterfly_all,rt_hawkmoth,rt_small_med_bee,rt_hummingbird,taxa,sp,reg1,reg2,corL,corW,stigma,lipL,brLbW,red,green,blue,latN,lonW,visTotal,avgNMDS1,avgNMDS2,hex,pch_ind,nmds1,nmds2
1,CHCL-2019,2019,CHCL,focal_narrow,0,8,1,5,0,0,0,0.571428571,0.071428571,0.357142857,0,0,0,0.057142857,0.007142857,0.035714286,0,0,PC,C,C,C,30.88828333,3.28105,2.190133333,4.940383333,5.047766667,242.4333333,223.4,45,31.82479,-99.55632,14,-0.353618939,-0.090950461,#f2df2d,23,-0.19885459,-0.208770208
2,CLA-2018,2018,CLA,focal_narrow,0,12,0,1,3,0,0,0.75,0,0.0625,0.1875,0,0,0.032432432,0,0.002702703,0.008108108,0,PC,C,C,C,28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,16,-0.364396589,-0.084684878,#f4df2d,23,-0.300017347,-0.354556789
3,CLA-2019,2019,CLA,focal_narrow,0,0,1,0,13,0,0,0,0.071428571,0,0.928571429,0,0,0,0.003558719,0,0.046263345,0,PC,C,C,C,28.06486667,3.036033333,2.1353,4.155333333,6.144833333,244.3333333,222.6666667,44.6,33.75562,-98.3829,14,-0.364396589,-0.084684878,#f4df2d,23,-0.300017345,-0.354556793
4,CMSC-2018,2018,CMSC,focal_narrow,0,16,0,6,15,0,0,0.432432432,0,0.162162162,0.405405405,0,0,0.103225806,0,0.038709677,0.096774194,0,PC,C,C,C,34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,37,-0.226053219,-0.14496029,#efe144,23,-0.011918743,-0.114122094
5,CMSC-2019,2019,CMSC,focal_narrow,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0.174603175,0,0,PC,C,C,C,34.71851667,3.181433333,1.8928,5.2433,3.87135,238.7666667,225.3,68.33333333,34.73168,-98.56844,11,-0.226053219,-0.14496029,#efe144,23,-0.011918743,-0.114122094
6,CQL-2018,2018,CQL,focal_narrow,0,2,0,0,43,0,0,0.044444444,0,0,0.955555556,0,0,0.009049774,0,0,0.194570136,0,PC,C,C,C,27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,45,-0.245162952,-0.135419859,#f1e241,23,-0.235060892,-0.349139946
7,CQL-2019,2019,CQL,focal_narrow,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00729927,0,PC,C,C,C,27.15438333,3.3095,2.073033333,4.230866667,6.029266667,240.6,225.8333333,65.4,33.20647,-98.15727,1,-0.245162952,-0.135419859,#f1e241,23,-0.235060892,-0.349139946
8,LMN-2019,2019,LMN,focal_narrow,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0.117647059,PC,L,L,L,37.66555,2.984916667,3.187483333,5.0167,6.882233333,242.7,88.63333333,26.93333333,31.33261,-97.46821,16,-0.397081299,0.338107521,#f3591b,24,-0.492611892,-0.091901523
9,LRR-2018,2018,LRR,focal_narrow,0,0,0,0,2,28,0,0,0,0,0.066666667,0.933333333,0,0,0,0,0.018018018,0.252252252,PC,L,L,L,34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,30,-0.330922003,0.344990093,#f65420,24,-0.492337354,-0.131676743
10,LRR-2019,2019,LRR,focal_narrow,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0.072916667,PC,L,L,L,34.02525862,2.859051724,2.250275862,3.925241379,6.560689655,246,83.75862069,31.55172414,30.61922,-98.07169,7,-0.330922003,0.344990093,#f65420,24,-0.492337354,-0.131676743
11,LVH-2018,2018,LVH,focal_narrow,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0.180851064,0,0,PC,L,L,L,33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,17,-0.319592369,0.464992539,#ef3c1d,24,-0.524614418,-0.002962658
12,LVH-2019,2019,LVH,focal_narrow,0,0,0,0,1,3,0,0,0,0,0.25,0.75,0,0,0,0,0.014285714,0.042857143,PC,L,L,L,33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,4,-0.319592369,0.464992539,#ef3c1d,24,-0.524614416,-0.002962658
13,PCM-2018,2018,PCM,focal_narrow,0,0,4,88,8,0,0,0,0.04,0.88,0.08,0,0,0,0.031496063,0.692913386,0.062992126,0,PC,P,P,P,30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,100,0.387669567,0.258923206,#c23077,22,-0.365787848,0.429059867
14,PCM-2019,2019,PCM,focal_narrow,0,0,3,12,6,0,0,0,0.142857143,0.571428571,0.285714286,0,0,0,0.03125,0.125,0.0625,0,PC,P,P,P,30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,21,0.387669567,0.258923206,#c23077,22,-0.365787848,0.429059867
15,PMT-2018,2018,PMT,focal_narrow,0,21,2,19,23,3,0,0.308823529,0.029411765,0.279411765,0.338235294,0.044117647,0,0.111702128,0.010638298,0.10106383,0.122340426,0.015957447,PC,P,P,P,31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,68,0.227262116,0.2290579,#d13f64,22,-0.319555801,0.11579871
16,PMT-2019,2019,PMT,focal_narrow,4,0,0,0,3,0,0.571428571,0,0,0,0.428571429,0,0.014285714,0,0,0,0.010714286,0,PC,P,P,P,31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,7,0.227262116,0.2290579,#d13f64,22,-0.319555804,0.115798711
17,PTH-2018,2018,PTH,focal_narrow,6,1,0,176,101,0,0.021126761,0.003521127,0,0.61971831,0.355633803,0,0.008862629,0.001477105,0,0.259970458,0.149187592,0,PC,P,P,P,32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,284,0.421635397,0.168211371,#bc3586,22,-0.342991189,0.279097372
18,PTH-2019,2019,PTH,focal_narrow,9,0,1,43,29,0,0.109756098,0,0.012195122,0.524390244,0.353658537,0,0.020361991,0,0.002262443,0.097285068,0.06561086,0,PC,P,P,P,32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,82,0.421635397,0.168211371,#bc3586,22,-0.342991189,0.279097372
19,PTMS-2019,2019,PTMS,focal_narrow,3,0,0,2,67,0,0.041666667,0,0,0.027777778,0.930555556,0,0.007537688,0,0,0.005025126,0.168341709,0,PC,P,P,P,32.20373333,3.51825,1.769816667,4.493983333,4.664233333,177,44.76666667,115,36.1815,-95.8168383,72,0.397170408,0.222859127,#b12d73,22,-0.266849127,0.401542488
20,SBL-2017,2017,SBL,focal_narrow,0,0,0,106,5,0,0,0,0,0.954954955,0.045045045,0,0,0,0,3.117647059,0.147058824,0,S,S,sS,wS,46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,111,0.072016547,-0.117311022,#cb946c,21,0.349456228,0.042354508
21,SBL-2018,2018,SBL,focal_narrow,0,0,0,69,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,S,S,sS,wS,46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,69,0.072016547,-0.117311022,#cb946c,21,0.349456228,0.042354508
22,SBL-2019,2019,SBL,focal_narrow,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0.051948052,0,0,S,S,sS,wS,46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,4,0.072016547,-0.117311022,#cb946c,21,0.349456228,0.042354508
23,SCL-2018,2018,SCL,focal_narrow,0,0,0,66,50,0,0,0,0,0.568965517,0.431034483,0,0,0,0,0.492537313,0.373134328,0,S,S,sS,wS,44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,116,0.126897907,-0.072118327,#e99782,21,0.330518587,0.088267314
24,SCL-2019,2019,SCL,focal_narrow,0,0,0,46,2,0,0,0,0,0.958333333,0.041666667,0,0,0,0,0.630136986,0.02739726,0,S,S,sS,wS,44.1934,2.90535,1.597916667,5.58215,1.486716667,233,150.8333333,130.0666667,33.5655,-101.80032,48,0.126897907,-0.072118327,#e99782,21,0.330518589,0.088267314
