"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal"
"1","CHCL-2019","2019","CHCL","focal_narrow",0,8,1,5,0,0,0,0.571428571428571,0.0714285714285714,0.357142857142857,0,0,0,0.0571428571428571,0.00714285714285714,0.0357142857142857,0,0,"PC","C","C","C",30.8882833333333,3.28105,2.19013333333333,4.94038333333333,5.04776666666667,242.433333333333,223.4,45,31.82479,-99.55632,14
"2","CLA-2018","2018","CLA","focal_narrow",0,12,0,1,3,0,0,0.75,0,0.0625,0.1875,0,0,0.0324324324324324,0,0.0027027027027027,0.00810810810810811,0,"PC","C","C","C",28.0648666666667,3.03603333333333,2.1353,4.15533333333333,6.14483333333333,244.333333333333,222.666666666667,44.6,33.75562,-98.3829,16
"3","CLA-2019","2019","CLA","focal_narrow",0,0,1,0,13,0,0,0,0.0714285714285714,0,0.928571428571429,0,0,0,0.00355871886120996,0,0.0462633451957295,0,"PC","C","C","C",28.0648666666667,3.03603333333333,2.1353,4.15533333333333,6.14483333333333,244.333333333333,222.666666666667,44.6,33.75562,-98.3829,14
"4","CMSC-2018","2018","CMSC","focal_narrow",0,16,0,6,15,0,0,0.432432432432432,0,0.162162162162162,0.405405405405405,0,0,0.103225806451613,0,0.0387096774193548,0.0967741935483871,0,"PC","C","C","C",34.7185166666667,3.18143333333333,1.8928,5.2433,3.87135,238.766666666667,225.3,68.3333333333333,34.73168,-98.56844,37
"5","CMSC-2019","2019","CMSC","focal_narrow",0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0.174603174603175,0,0,"PC","C","C","C",34.7185166666667,3.18143333333333,1.8928,5.2433,3.87135,238.766666666667,225.3,68.3333333333333,34.73168,-98.56844,11
"6","CQL-2018","2018","CQL","focal_narrow",0,2,0,0,43,0,0,0.0444444444444444,0,0,0.955555555555556,0,0,0.00904977375565611,0,0,0.194570135746606,0,"PC","C","C","C",27.1543833333333,3.3095,2.07303333333333,4.23086666666667,6.02926666666667,240.6,225.833333333333,65.4,33.20647,-98.15727,45
"7","CQL-2019","2019","CQL","focal_narrow",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0072992700729927,0,"PC","C","C","C",27.1543833333333,3.3095,2.07303333333333,4.23086666666667,6.02926666666667,240.6,225.833333333333,65.4,33.20647,-98.15727,1
"8","LMN-2019","2019","LMN","focal_narrow",0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0.117647058823529,"PC","L","L","L",37.66555,2.98491666666667,3.18748333333333,5.0167,6.88223333333333,242.7,88.6333333333333,26.9333333333333,31.33261,-97.46821,16
"9","LRR-2018","2018","LRR","focal_narrow",0,0,0,0,2,28,0,0,0,0,0.0666666666666667,0.933333333333333,0,0,0,0,0.018018018018018,0.252252252252252,"PC","L","L","L",34.0252586206897,2.85905172413793,2.25027586206897,3.92524137931034,6.56068965517241,246,83.7586206896552,31.551724137931,30.61922,-98.07169,30
"10","LRR-2019","2019","LRR","focal_narrow",0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0.0729166666666667,"PC","L","L","L",34.0252586206897,2.85905172413793,2.25027586206897,3.92524137931034,6.56068965517241,246,83.7586206896552,31.551724137931,30.61922,-98.07169,7
"11","LVH-2018","2018","LVH","focal_narrow",0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0.180851063829787,0,0,"PC","L","L","L",33.7323666666667,2.80698333333333,2.56918333333333,4.42203333333333,5.33735,239.266666666667,60.3,28.6,30.2759,-97.8971,17
"12","LVH-2019","2019","LVH","focal_narrow",0,0,0,0,1,3,0,0,0,0,0.25,0.75,0,0,0,0,0.0142857142857143,0.0428571428571429,"PC","L","L","L",33.7323666666667,2.80698333333333,2.56918333333333,4.42203333333333,5.33735,239.266666666667,60.3,28.6,30.2759,-97.8971,4
